processo_id;acao;autor;reu
P-00001;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Estado de Santa Aurora
P-00002;Execução de alimentos;Pedro Henrique Santos;Ricardo Almeida
P-00003;Inventário e partilha;Fernanda Costa;GlobalTech Corp.
P-00004;Execução de alimentos;João da Silva;Secretaria de Saúde de Santa Clara
P-00005;Execução Fiscal;Prefeitura Municipal de Nova Esperança;GlobalTech Corp.
P-00006;Extinção de condomínio;Estado de Santa Aurora;Construtora Nova Era Ltda.
P-00007;Execução de alimentos;Ana Paula Lima;Ricardo Almeida
P-00008;Trabalhista;TechBrasil S.A.;Oficina Mecânica do Zé
P-00009;Trabalhista;AgroVale Ltda.;Fernanda Costa
P-00010;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;Ana Paula Lima
P-00011;Execução de título extrajudicial;GlobalTech Corp.;Carlos Souza
P-00012;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Maria Oliveira
P-00013;Falência e Recuperação Judicial;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-00014;Inventário e partilha;Construtora Nova Era Ltda.;Estado de Santa Aurora
P-00015;Execução Cível;Estado de Santa Aurora;TechBrasil S.A.
P-00016;Execução Fiscal;Estado de Santa Aurora;Estado de Santa Aurora
P-00017;Extinção de condomínio;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00018;Inventário e partilha;Fernanda Costa;Maria Oliveira
P-00019;Extinção de condomínio;Oficina Mecânica do Zé;Construtora Nova Era Ltda.
P-00020;Execução de título extrajudicial;Carlos Souza;Oficina Mecânica do Zé
P-00021;Execução de alimentos;Oficina Mecânica do Zé;Fernanda Costa
P-00022;Execução Cível;Fernanda Costa;Instituto Nacional de Energia Renovável
P-00023;Trabalhista;Ricardo Almeida;TechBrasil S.A.
P-00024;Execução Cível;TechBrasil S.A.;Prefeitura Municipal de Nova Esperança
P-00025;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00026;Busca e apreensão;Ana Paula Lima;João da Silva
P-00027;Busca e apreensão;Estado de Santa Aurora;Ana Paula Lima
P-00028;Busca e apreensão;TechBrasil S.A.;Construtora Nova Era Ltda.
P-00029;Inventário e partilha;GlobalTech Corp.;Prefeitura Municipal de Nova Esperança
P-00030;Execução Fiscal;Secretaria de Saúde de Santa Clara;Fernanda Costa
P-00031;Trabalhista;Ricardo Almeida;Estado de Santa Aurora
P-00032;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Prefeitura Municipal de Nova Esperança
P-00033;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Carlos Souza
P-00034;Inventário e partilha;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00035;Busca e apreensão;Oficina Mecânica do Zé;Construtora Nova Era Ltda.
P-00036;Execução Cível;GlobalTech Corp.;Maria Oliveira
P-00037;Execução de título extrajudicial;Construtora Nova Era Ltda.;AgroVale Ltda.
P-00038;Execução de alimentos;Juliana Rocha;Maria Oliveira
P-00039;Execução Cível;Estado de Santa Aurora;João da Silva
P-00040;Busca e apreensão;Secretaria de Saúde de Santa Clara;Pedro Henrique Santos
P-00041;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-00042;Execução de alimentos;AgroVale Ltda.;Ricardo Almeida
P-00043;Extinção de condomínio;Prefeitura Municipal de Nova Esperança;Construtora Nova Era Ltda.
P-00044;Execução Fiscal;Instituto Nacional de Energia Renovável;Pedro Henrique Santos
P-00045;Trabalhista;Carlos Souza;Fernanda Costa
P-00046;Execução de alimentos;Construtora Nova Era Ltda.;Ana Paula Lima
P-00047;Trabalhista;Prefeitura Municipal de Nova Esperança;Ana Paula Lima
P-00048;Busca e apreensão;Fernanda Costa;Estado de Santa Aurora
P-00049;Inventário e partilha;Pedro Henrique Santos;AgroVale Ltda.
P-00050;Execução de alimentos;Ricardo Almeida;Secretaria de Saúde de Santa Clara
P-00051;Extinção de condomínio;Instituto Nacional de Energia Renovável;Maria Oliveira
P-00052;Trabalhista;Pedro Henrique Santos;João da Silva
P-00053;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Maria Oliveira
P-00054;Trabalhista;Construtora Nova Era Ltda.;João da Silva
P-00055;Inventário e partilha;Secretaria de Saúde de Santa Clara;Carlos Souza
P-00056;Execução de alimentos;Secretaria de Saúde de Santa Clara;Construtora Nova Era Ltda.
P-00057;Busca e apreensão;Ana Paula Lima;Estado de Santa Aurora
P-00058;Execução de título extrajudicial;Estado de Santa Aurora;GlobalTech Corp.
P-00059;Trabalhista;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00060;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Juliana Rocha
P-00061;Execução Cível;Construtora Nova Era Ltda.;AgroVale Ltda.
P-00062;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Prefeitura Municipal de Nova Esperança
P-00063;Execução de título extrajudicial;AgroVale Ltda.;Instituto Nacional de Energia Renovável
P-00064;Busca e apreensão;Maria Oliveira;AgroVale Ltda.
P-00065;Execução Cível;Fernanda Costa;Prefeitura Municipal de Nova Esperança
P-00066;Inventário e partilha;Instituto Nacional de Energia Renovável;Ana Paula Lima
P-00067;Execução de alimentos;Juliana Rocha;Oficina Mecânica do Zé
P-00068;Execução de alimentos;Juliana Rocha;AgroVale Ltda.
P-00069;Execução Cível;Prefeitura Municipal de Nova Esperança;Secretaria de Saúde de Santa Clara
P-00070;Execução Cível;Ana Paula Lima;Maria Oliveira
P-00071;Execução de alimentos;Carlos Souza;Carlos Souza
P-00072;Ações hipotecárias;Maria Oliveira;Ricardo Almeida
P-00073;Busca e apreensão;AgroVale Ltda.;João da Silva
P-00074;Inventário e partilha;Fernanda Costa;Estado de Santa Aurora
P-00075;Falência e Recuperação Judicial;Estado de Santa Aurora;Ricardo Almeida
P-00076;Inventário e partilha;Prefeitura Municipal de Nova Esperança;João da Silva
P-00077;Extinção de condomínio;AgroVale Ltda.;João da Silva
P-00078;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-00079;Execução Cível;GlobalTech Corp.;Ricardo Almeida
P-00080;Ações hipotecárias;AgroVale Ltda.;Ana Paula Lima
P-00081;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Ricardo Almeida
P-00082;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Carlos Souza
P-00083;Execução de título extrajudicial;Ana Paula Lima;João da Silva
P-00084;Ações hipotecárias;Ricardo Almeida;Ana Paula Lima
P-00085;Execução Cível;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-00086;Execução de alimentos;Secretaria de Saúde de Santa Clara;Instituto Nacional de Energia Renovável
P-00087;Execução Fiscal;Instituto Nacional de Energia Renovável;Ana Paula Lima
P-00088;Execução de alimentos;Pedro Henrique Santos;AgroVale Ltda.
P-00089;Execução de alimentos;AgroVale Ltda.;Juliana Rocha
P-00090;Execução Cível;João da Silva;Ricardo Almeida
P-00091;Execução de título extrajudicial;Maria Oliveira;Ricardo Almeida
P-00092;Execução Cível;Fernanda Costa;Pedro Henrique Santos
P-00093;Execução Fiscal;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00094;Inventário e partilha;TechBrasil S.A.;Juliana Rocha
P-00095;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Instituto Nacional de Energia Renovável
P-00096;Inventário e partilha;Oficina Mecânica do Zé;Construtora Nova Era Ltda.
P-00097;Busca e apreensão;GlobalTech Corp.;Maria Oliveira
P-00098;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Instituto Nacional de Energia Renovável
P-00099;Busca e apreensão;Secretaria de Saúde de Santa Clara;Prefeitura Municipal de Nova Esperança
P-00100;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00101;Execução Cível;Pedro Henrique Santos;Juliana Rocha
P-00102;Extinção de condomínio;Oficina Mecânica do Zé;GlobalTech Corp.
P-00103;Busca e apreensão;Ricardo Almeida;Construtora Nova Era Ltda.
P-00104;Busca e apreensão;João da Silva;Prefeitura Municipal de Nova Esperança
P-00105;Execução Cível;Juliana Rocha;Pedro Henrique Santos
P-00106;Ações hipotecárias;Oficina Mecânica do Zé;AgroVale Ltda.
P-00107;Trabalhista;Estado de Santa Aurora;GlobalTech Corp.
P-00108;Trabalhista;GlobalTech Corp.;Oficina Mecânica do Zé
P-00109;Ações hipotecárias;Maria Oliveira;Instituto Nacional de Energia Renovável
P-00110;Execução de título extrajudicial;Ricardo Almeida;Maria Oliveira
P-00111;Falência e Recuperação Judicial;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-00112;Busca e apreensão;Pedro Henrique Santos;Ricardo Almeida
P-00113;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Estado de Santa Aurora
P-00114;Execução de título extrajudicial;João da Silva;Estado de Santa Aurora
P-00115;Execução de alimentos;Ana Paula Lima;Instituto Nacional de Energia Renovável
P-00116;Ações hipotecárias;Estado de Santa Aurora;Fernanda Costa
P-00117;Inventário e partilha;Maria Oliveira;Ricardo Almeida
P-00118;Execução Cível;Instituto Nacional de Energia Renovável;Pedro Henrique Santos
P-00119;Execução de alimentos;Estado de Santa Aurora;Pedro Henrique Santos
P-00120;Busca e apreensão;AgroVale Ltda.;Fernanda Costa
P-00121;Extinção de condomínio;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-00122;Execução de alimentos;GlobalTech Corp.;Juliana Rocha
P-00123;Inventário e partilha;TechBrasil S.A.;GlobalTech Corp.
P-00124;Extinção de condomínio;João da Silva;Juliana Rocha
P-00125;Execução de título extrajudicial;AgroVale Ltda.;Carlos Souza
P-00126;Busca e apreensão;Fernanda Costa;Ana Paula Lima
P-00127;Trabalhista;Carlos Souza;Fernanda Costa
P-00128;Inventário e partilha;AgroVale Ltda.;GlobalTech Corp.
P-00129;Execução de título extrajudicial;Maria Oliveira;TechBrasil S.A.
P-00130;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Secretaria de Saúde de Santa Clara
P-00131;Inventário e partilha;TechBrasil S.A.;Ricardo Almeida
P-00132;Execução de alimentos;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-00133;Busca e apreensão;Oficina Mecânica do Zé;Oficina Mecânica do Zé
P-00134;Busca e apreensão;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-00135;Execução Fiscal;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-00136;Execução Fiscal;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00137;Execução de título extrajudicial;Maria Oliveira;Secretaria de Saúde de Santa Clara
P-00138;Execução de alimentos;Construtora Nova Era Ltda.;Ana Paula Lima
P-00139;Ações hipotecárias;Juliana Rocha;Estado de Santa Aurora
P-00140;Execução Cível;Carlos Souza;Ricardo Almeida
P-00141;Execução de alimentos;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-00142;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;João da Silva
P-00143;Inventário e partilha;Ricardo Almeida;Estado de Santa Aurora
P-00144;Execução de título extrajudicial;Construtora Nova Era Ltda.;Construtora Nova Era Ltda.
P-00145;Falência e Recuperação Judicial;Estado de Santa Aurora;TechBrasil S.A.
P-00146;Ações hipotecárias;TechBrasil S.A.;João da Silva
P-00147;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Instituto Nacional de Energia Renovável
P-00148;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Instituto Nacional de Energia Renovável
P-00149;Busca e apreensão;Maria Oliveira;João da Silva
P-00150;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Fernanda Costa
