id_arrematante;nome;qtd_lotes_comprados
278;Renata Gouveia;55
293;Murilo Rangel;53
372;Mateus Guimarães;51
288;Mateus Loureiro;51
295;Patrícia Gouveia;50
373;Thiago Zago;49
273;Larissa Estrela;48
391;Eliane Moreira;48
477;Paulo Holanda;47
386;João Figueiredo;47
279;Fernanda Amorim;47
405;Marcelo Neves;47
413;Vitor Santana;47
388;Cláudia Souza;46
289;Rafael Porto;46
484;Adriana Prado;45
497;Mauro Serafim;45
280;Alan Simões;45
257;Helena Martins;45
301;Camila Moraes;45
376;Vinícius Mendonça;45
307;Murilo Vasconcelos;45
339;Diego Serafim;45
393;Eliane Mendonça;45
322;Mônica Seabra;45
364;Marcelo Dias;45
353;Elisângela Mascarenhas;44
305;Leonardo Campos;44
494;Rosa Moraes;44
325;Silvio Siqueira;44
300;Nelson Martins;43
266;Larissa Brito;43
461;Alexandre Brito;43
344;Alan Tavares;43
338;Rafael Cintra;43
298;Jaqueline Rodrigues;43
333;Caio Cintra;42
352;Larissa Oliveira;42
284;Joana Cunha;42
479;Roberta Barros;42
316;Samuel Batista;42
281;Michele Rodrigues;42
360;Priscila Ferreira;42
434;Paulo Peixoto;42
290;Bruna Benevides;42
362;Jorge Vasconcelos;42
349;Márcia Moura;41
283;Henrique Mesquita;41
318;Alexandre Pedrosa;41
365;Rodrigo Batista;41
