id_arrematante,nome,total_gasto
288,"Mateus Loureiro",23705895.95
295,"Patrícia Gouveia",23353354.39
494,"Rosa Moraes",21472304.56
307,"Murilo Vasconcelos",21013985.88
283,"Henrique Mesquita",20069090.92
388,"Cláudia Souza",20000480.73
333,"Caio Cintra",19429472.81
335,"Mariana Pinto",19322724.14
301,"Camila Moraes",19035075.36
413,"Vitor Santana",18813964.17
380,"Antônio Assis",18663843.31
405,"Marcelo Neves",18635448.31
379,"Wallace Simões",18558838.24
265,"Jaqueline Souza",18516607.18
293,"Murilo Rangel",18270289.72
497,"Mauro Serafim",18247314.95
308,"Antônio Porto",18059561.68
325,"Silvio Siqueira",17826872.36
386,"João Figueiredo",17361527.05
418,"Mônica Paiva",17355066.05
353,"Elisângela Mascarenhas",17265930.44
257,"Helena Martins",17207369.38
278,"Renata Gouveia",17197105.36
373,"Thiago Zago",17150006.23
390,"José Pires",17107731.42
340,"Isabela Barros",17093629.63
338,"Rafael Cintra",17035012.01
280,"Alan Simões",17006402.48
376,"Vinícius Mendonça",16987311.27
319,"Adriana Lima",16958958.23
451,"Roberto Moreira",16849459.59
309,"Rafael Tavares",16772181.84
289,"Rafael Porto",16625029.92
372,"Mateus Guimarães",16614619.08
258,"Paulo Xavier",16494004.76
304,"Douglas Cunha",16446480.78
363,"Adriana Pedrosa",16308198.22
315,"Daniela Duarte",16186583.31
365,"Rodrigo Batista",16097069.22
397,"Wallace Ferreira",16095731.64
290,"Bruna Benevides",16074752.97
361,"Rodrigo Costa",16031382.18
360,"Priscila Ferreira",15980159.41
421,"Wallace Ribeiro",15966172.03
322,"Mônica Seabra",15861485.49
406,"Mariana Loureiro",15718285.68
261,"Cecília Castro",15711574.19
336,"Fabiana Rangel",15707781.77
408,"Douglas Amorim",15692258.02
276,"Henrique Marinho",15687295.63
